hogar_alpes_pulsar  | 2026-09-21T04:27:59,565+0000 [pulsar-io-18-3] INFO  org.apache.pulsar.broker.service.ServerCnx - [SystemTopic{topic=persistent://pulsar/standalone/localhost:8080/healthcheck}][standalone-0-479] Closed producer on cnx /127.0.0.1:33924. producerId=461
hogar_alpes_pulsar  | 2026-09-21T04:27:59,565+0000 [pulsar-io-18-3] INFO  org.apache.pulsar.broker.service.ServerCnx - [/127.0.0.1:33924] Closing consumer: consumerId=463
hogar_alpes_pulsar  | 2026-09-21T04:27:59,565+0000 [pulsar-io-18-3] INFO  org.apache.pulsar.broker.service.AbstractDispatcherSingleActiveConsumer - Removing consumer Consumer{subscription=PersistentSubscription{topic=persistent://pulsar/standalone/localhost:8080/healthcheck, name=healthCheck-56166a2a-9b71-47f5-add3-04c92ab96ce8}, consumerId=463, consumerName=19737, address=/127.0.0.1:33924}
hogar_alpes_pulsar  | 2026-09-21T04:27:59,565+0000 [pulsar-io-18-3] INFO  org.apache.pulsar.broker.service.persistent.PersistentSubscription - [persistent://pulsar/standalone/localhost:8080/healthcheck][healthCheck-56166a2a-9b71-47f5-add3-04c92ab96ce8] Successfully closed subscription [NonDurableCursorImpl{ledger=pulsar/standalone/localhost:8080/persistent/healthcheck, cursor=healthCheck-56166a2a-9b71-47f5-add3-04c92ab96ce8, ackPos=7:459, readPos=7:460}]
hogar_alpes_pulsar  | 2026-09-21T04:27:59,565+0000 [pulsar-io-18-3] INFO  org.apache.pulsar.broker.service.persistent.PersistentSubscription - [persistent://pulsar/standalone/localhost:8080/healthcheck][healthCheck-56166a2a-9b71-47f5-add3-04c92ab96ce8] Successfully closed dispatcher for reader
hogar_alpes_pulsar  | 2026-09-21T04:27:59,565+0000 [pulsar-io-18-3] INFO  org.apache.pulsar.broker.service.ServerCnx - [/127.0.0.1:33924] Closed consumer, consumerId=463
hogar_alpes_pulsar  | 2026-09-21T04:27:59,565+0000 [pulsar-io-18-2] INFO  org.apache.pulsar.client.impl.ProducerImpl - [persistent://pulsar/standalone/localhost:8080/healthcheck] [standalone-0-479] Closed Producer
hogar_alpes_pulsar  | 2026-09-21T04:27:59,565+0000 [pulsar-io-18-2] INFO  org.apache.pulsar.client.impl.ConsumerImpl - [persistent://pulsar/standalone/localhost:8080/healthcheck] [healthCheck-56166a2a-9b71-47f5-add3-04c92ab96ce8] Closed consumer
hogar_alpes_pulsar  | 2026-09-21T04:27:59,565+0000 [broker-client-shared-internal-executor-19-1] INFO  org.apache.pulsar.broker.admin.impl.BrokersBase - [null] Successfully run health check.
hogar_alpes_pulsar  | 2026-09-21T04:27:59,565+0000 [broker-client-shared-internal-executor-19-1] INFO  org.eclipse.jetty.server.RequestLog - 127.0.0.1 - - [21/Sep/2026:04:27:59 +0000] "GET /admin/v2/brokers/health HTTP/1.1" 200 2 "-" "Pulsar-Java-v3.2.0" 17
